problem_id,problem_part,scaffold_id,problem_type_id
PRABANQW,4,0.0,1.0
PRABANRM,1,0.0,8.0
PRABANRM,2,0.0,1.0
PRABANRM,3,0.0,8.0
PRABANRM,4,0.0,1.0
PRABANRX,1,0.0,8.0
PRABANRX,2,0.0,1.0
PRABANRX,3,0.0,8.0
PRABANRX,4,0.0,1.0
PRABANSS,1,0.0,8.0
PRABANSS,2,0.0,1.0
PRABANSS,3,0.0,8.0
PRABANSS,4,0.0,1.0
PRAHVJH,1,0.0,4.0
PRAHVJ3,1,0.0,4.0
PRAHVGQ,1,0.0,4.0
PRABANQQ,1,0.0,8.0
PRABANQQ,2,0.0,1.0
PRABANQQ,3,0.0,1.0
PRABANRN,1,0.0,8.0
PRABANRN,2,0.0,1.0
PRABANRN,3,0.0,1.0
PRABANR9,1,0.0,8.0
PRABANR9,2,0.0,1.0
PRABANR9,3,0.0,1.0
PRABANSV,1,0.0,8.0
PRABANSV,2,0.0,1.0
PRABANSV,3,0.0,1.0
PRAHVM4,1,0.0,15.0
PRAHVJW,1,0.0,4.0
PRAHVF3,1,0.0,4.0
PRAHVMC,1,0.0,4.0
PRAHVG9,1,0.0,4.0
PRAHVMK,1,0.0,4.0
PRAHVF7,1,0.0,4.0
PRAHVH4,1,0.0,4.0
PRAHVF2,1,0.0,4.0
PRAHVGV,1,0.0,4.0
PRAHVKN,1,0.0,4.0
PRAHVMD,1,0.0,4.0
PRAHVGG,1,0.0,4.0
PRAHVFK,1,0.0,4.0
PRAHVGH,1,0.0,4.0
PRAHVHK,1,0.0,4.0
PRAHVJD,1,0.0,4.0
PRAHVMS,1,0.0,4.0
PRAHVFM,1,0.0,4.0
PRAHVNF,1,0.0,4.0
PRAHVMA,1,0.0,4.0
PRABANQC,1,0.0,8.0
PRAHVFT,1,0.0,4.0
PRAHVFC,1,0.0,4.0
PRAHVFN,1,0.0,4.0
PRAHVHQ,1,0.0,4.0
PRAHVJ5,1,0.0,4.0
PRAHVFV,1,0.0,4.0
PRAHVGE,1,0.0,4.0
PRAHVNJ,1,0.0,4.0
PRAHVGN,1,0.0,4.0
PRAHVNE,1,0.0,4.0
PRAHVHW,1,0.0,4.0
PRAHVMJ,1,0.0,4.0
PRAHVMP,1,0.0,4.0
PRAHVKH,1,0.0,4.0
PRAHVGB,1,0.0,4.0
PRAHVKR,1,0.0,4.0
PRAHVHE,1,0.0,4.0
PRAHVJT,1,0.0,4.0
PRAHVHH,1,0.0,4.0
PRAHVGX,1,0.0,4.0
PRAHVGR,1,0.0,4.0
PRAHVJR,1,0.0,4.0
PRAHVFX,1,0.0,4.0
PRAHVJZ,1,0.0,4.0
PRABANQC,2,0.0,1.0
PRAHVNB,1,0.0,4.0
PRAHVFG,1,0.0,4.0
PRAHVKA,1,0.0,4.0
PRAHVKQ,1,0.0,4.0
PRAHVJ4,1,0.0,4.0
PRAHVMN,1,0.0,4.0
PRAHVMX,1,0.0,4.0
PRAHVH6,1,0.0,4.0
PRAHVKM,1,0.0,4.0
PRAHVG8,1,0.0,4.0
PRAHVFH,1,0.0,4.0
PRAHVM6,1,0.0,4.0
PRAHVJ8,1,0.0,4.0
PRAHVMY,1,0.0,4.0
PRAHVK6,1,0.0,4.0
PRABANQB,1,0.0,8.0
PRABANQB,2,0.0,1.0
PRABANQB,3,0.0,8.0
PRABANQB,4,0.0,1.0
PRABANRD,1,0.0,8.0
PRABANRD,2,0.0,1.0
PRABANRD,3,0.0,8.0
PRABANRD,4,0.0,1.0
PRABANRQ,1,0.0,8.0
PRABANRQ,2,0.0,1.0
PRABANRQ,3,0.0,8.0
PRABANRQ,4,0.0,1.0
PRABANSQ,1,0.0,8.0
PRABANSQ,2,0.0,1.0
PRABANSQ,3,0.0,8.0
PRABANSQ,4,0.0,1.0
PRAHVFU,1,0.0,4.0
PRAHVM5,1,0.0,4.0
PRAHVJ2,1,0.0,4.0
PRAHVKF,1,0.0,4.0
PRAHVNG,1,0.0,4.0
PRAHVK3,1,0.0,4.0
PRAHVHP,1,0.0,4.0
PRAHVJ6,1,0.0,4.0
PRAHVJU,1,0.0,4.0
PRAHVGM,1,0.0,4.0
PRAHVH2,1,0.0,4.0
PRAHVG5,1,0.0,4.0
PRAHVGK,1,0.0,4.0
PRAHVJK,1,0.0,4.0
PRAHVKP,1,0.0,4.0
PRAHVKY,1,0.0,4.0
PRAHVKC,1,0.0,4.0
PRAHVJS,1,0.0,4.0
PRAHVHJ,1,0.0,4.0
PRAHVHV,1,0.0,4.0
PRAHVMQ,1,0.0,4.0
PRAHVGD,1,0.0,4.0
PRAHVKE,1,0.0,4.0
PRAHVFY,1,0.0,4.0
PRAHVGP,1,0.0,4.0
PRAHVME,1,0.0,4.0
PRAHVHD,1,0.0,4.0
PRAHVJM,1,0.0,4.0
PRAHVH3,1,0.0,4.0
