model,ref_estimator,dataset,t0,horizon,subgroup,action,ref_mu_0,ref_mu_1,ref_mu_2,ref_mu_3,ref_mu_4,ref_mu_5,ref_ci_low_0,ref_ci_low_1,ref_ci_low_2,ref_ci_low_3,ref_ci_low_4,ref_ci_low_5,ref_ci_high_0,ref_ci_high_1,ref_ci_high_2,ref_ci_high_3,ref_ci_high_4,ref_ci_high_5,gen_mu_0,gen_mu_1,gen_mu_2,gen_mu_3,gen_mu_4,gen_mu_5,gen_std_0,gen_std_1,gen_std_2,gen_std_3,gen_std_4,gen_std_5,n_effective
diffusion,gformula,oulad,5,5,all,0,0.5650611519813538,0.5650420188903809,0.5649297833442688,0.5647697448730469,0.5642997026443481,0.5640814304351807,0.5648859739303589,0.5648624300956726,0.5647388100624084,0.5645932555198669,0.5641418099403381,0.563907265663147,0.5652337074279785,0.5652095675468445,0.5651426911354065,0.5649418234825134,0.5644607543945312,0.5642363429069519,0.6094566867890123,0.6351346459604965,0.6421875625496647,0.6471678778760852,0.6473752538237525,0.6525869159689461,0.008104284559273377,0.010265123896710934,0.011795573061700267,0.009709464308259199,0.011471799271712805,0.01375627999115587,4233
diffusion,gformula,oulad,5,5,all,1,0.564498245716095,0.5646121501922607,0.5645390748977661,0.5644543766975403,0.5641167163848877,0.5639994740486145,0.5642794370651245,0.5644492506980896,0.5643596649169922,0.5642991065979004,0.5639514327049255,0.5638424754142761,0.5646718740463257,0.5647845268249512,0.5647239089012146,0.5646207332611084,0.5643061399459839,0.5641803741455078,0.6580634146660951,0.6401869142105061,0.6496546604271007,0.6521383923965494,0.6547694913374879,0.6540978861538076,0.007223375108127929,0.006647947167734457,0.008121450656705434,0.009641981293654301,0.011493579491828814,0.01250415514892076,4233
diffusion,gformula,oulad,5,5,low,0,0.5641023516654968,0.5641868710517883,0.5637795925140381,0.5636184215545654,0.5635064840316772,0.5631599426269531,0.5638716220855713,0.5639405250549316,0.5635451674461365,0.5633663535118103,0.5633095502853394,0.562907874584198,0.5643211603164673,0.5644081830978394,0.5639894604682922,0.5638290047645569,0.5637348294258118,0.5634291768074036,0.6033583756380193,0.63376153646939,0.6428947456022397,0.6426940097300888,0.6526693357383582,0.6553194760360113,0.01186774005656942,0.014074598374188603,0.013872911785194897,0.012871277124025566,0.017715177169713384,0.01492296456403279,2315
diffusion,gformula,oulad,5,5,low,1,0.5633517503738403,0.5635818243026733,0.5634139776229858,0.5634267330169678,0.5632363557815552,0.5630530118942261,0.5630736947059631,0.5633428692817688,0.5631858110427856,0.563179612159729,0.5629943609237671,0.562809944152832,0.5636332631111145,0.5638207197189331,0.563675045967102,0.5636559128761292,0.563448429107666,0.5632799863815308,0.6625131803976079,0.6431306844383264,0.650532806197919,0.6488652573742055,0.6582624745487043,0.6543366421458161,0.011106295499827628,0.011304617279546037,0.01399462523650966,0.013212331210965945,0.016202288260782367,0.015451110675668537,2315
diffusion,gformula,oulad,5,5,high,0,0.5663750171661377,0.5663899779319763,0.566338300704956,0.5657473802566528,0.5655398368835449,0.5653536319732666,0.5661106109619141,0.566148042678833,0.5660912394523621,0.5654761791229248,0.5653029084205627,0.5651074051856995,0.5666059851646423,0.5666552186012268,0.5665987133979797,0.5660926103591919,0.5658008456230164,0.5656319260597229,0.6061682971116877,0.632826985887093,0.6412450129303762,0.6443296206591914,0.6406646602436216,0.6361892263782053,0.012908331015818208,0.01687402038724312,0.014956424662797946,0.01139069175103632,0.018208684072794093,0.020994932176851732,1918
diffusion,gformula,oulad,5,5,high,1,0.5655637383460999,0.5657775402069092,0.5659310817718506,0.565684974193573,0.5653403997421265,0.5653016567230225,0.565307080745697,0.5655187368392944,0.5657081007957458,0.5654051303863525,0.5651146173477173,0.5650172233581543,0.5658529996871948,0.5660804510116577,0.5661831498146057,0.5659576058387756,0.5655914545059204,0.5655996203422546,0.6622502930713241,0.6418294978437127,0.6447419402856693,0.6481635169842794,0.6553190497540242,0.6475314143332318,0.012854176877126587,0.012410938357459135,0.012045294876506287,0.015050640041928859,0.017961389786252648,0.01811556359882342,1918
diffusion,gformula,oulad,10,5,all,0,0.5637734532356262,0.5636795163154602,0.5633894205093384,0.5630199313163757,0.5626288652420044,0.5627341270446777,0.5635908842086792,0.5635018944740295,0.563251793384552,0.5628767013549805,0.5624942779541016,0.5625777244567871,0.5639846920967102,0.563849925994873,0.5635544061660767,0.5631580948829651,0.5627636313438416,0.5628607273101807,0.6174782675510747,0.6581619562084711,0.6025307619706991,0.589450934479828,,,0.014738145223088403,0.015580792094301583,0.03582679896811593,0.06242736227080253,,,4233
diffusion,gformula,oulad,10,5,all,1,0.5633928775787354,0.563401460647583,0.5630043148994446,0.5626873970031738,0.5627466440200806,0.5625776052474976,0.563169538974762,0.5632131099700928,0.5628460049629211,0.5625379681587219,0.5625995397567749,0.5624350309371948,0.5636201500892639,0.5635926723480225,0.563145101070404,0.5628390908241272,0.5629070401191711,0.5627109408378601,0.6669190547971706,0.6542894492603236,0.5925114861261342,0.6072738282317913,,,0.013150537833601377,0.01586756570490121,0.04591775655737421,0.0672955306946728,,,4233
diffusion,gformula,oulad,10,5,low,0,0.5626242756843567,0.5627862811088562,0.5623617768287659,0.5621671080589294,0.5620120763778687,0.5619407892227173,0.5623199939727783,0.5625123381614685,0.5621430277824402,0.5619592070579529,0.5618239045143127,0.5617372393608093,0.5629162788391113,0.5629990100860596,0.5625729560852051,0.5623847842216492,0.5621721148490906,0.5621396899223328,0.6210753476575692,0.6534087721919626,0.5899784147088991,0.5923483738017932,,,0.015954757232910732,0.023492230753833037,0.05172242522963884,0.07764910713644706,,,2315
diffusion,gformula,oulad,10,5,low,1,0.5624006986618042,0.5626016855239868,0.5621786117553711,0.5619562268257141,0.5618634223937988,0.5617756843566895,0.5621758699417114,0.5623173117637634,0.5619496703147888,0.5617542862892151,0.5616949200630188,0.5615947246551514,0.5626633167266846,0.5628505349159241,0.562375009059906,0.5621680617332458,0.5620468258857727,0.5619691014289856,0.6756592535710026,0.656377200668606,0.602356290918239,0.5792066600646303,,,0.01972232263483709,0.024076228944805718,0.051250344594683396,0.05973011549960954,,,2315
